,o3_pro,o3_high,o3_images_high,o3_med,o3_images_med,o3_low,gpt5_high,gpt5_med,gpt5_low,gpt5_minimal,o4mini_high,o4mini_med
17,4.75,1.5833333333333333,2.0,4.916666666666666,2.0,1.0,3.4,1.75,1.6666666666666663,2.9166666666666665,3.4,2.55
18,4.75,1.7857142857142856,1.5,4.75,1.7857142857142856,4.0,4.0,4.0,1.5,2.25,4.0,1.0
19,1.0,1.0,1.0,1.0,2.75,1.8,1.4166666666666663,2.1,1.45,1.0,1.25,4.666666666666666
20,2.75,2.75,1.3333333333333337,2.75,2.583333333333333,1.35,2.75,4.5,2.45,1.3333333333333337,1.7,1.4166666666666663
21,2.583333333333333,2.0,1.5,2.1,2.6666666666666665,1.1,1.0,1.0,1.875,1.0,1.25,1.0833333333333337
22,2.25,1.5833333333333333,1.5,1.5833333333333333,3.0357142857142856,2.6666666666666665,1.5,1.1,2.6666666666666665,1.25,1.0,2.6666666666666665
23,3.0357142857142856,1.25,3.0357142857142856,3.0357142857142856,1.4166666666666663,3.0357142857142856,3.0357142857142856,4.75,3.0357142857142856,2.6,3.0357142857142856,4.75
24,4.285714285714286,4.285714285714286,4.285714285714286,4.285714285714286,4.142857142857142,4.285714285714286,1.95,4.285714285714286,4.285714285714286,3.0,2.416666666666667,4.285714285714286
25,4.142857142857142,4.142857142857142,4.142857142857142,1.25,1.9166666666666663,4.142857142857142,4.142857142857142,4.142857142857142,4.142857142857142,1.4642857142857144,4.142857142857142,4.142857142857142
26,3.625,4.666666666666666,3.0,1.0,4.4,1.5,4.916666666666666,1.4,1.0,1.1666666666666663,3.625,1.9166666666666663
27,4.4,1.3333333333333337,2.15,4.4,2.75,4.4,2.125,2.15,2.15,1.375,3.8,4.833333333333334
28,2.75,4.25,2.75,4.25,2.666666666666667,4.25,3.0,2.75,2.75,1.3,4.333333333333333,1.0
29,2.666666666666667,1.25,1.2,1.0,2.1,1.6,1.0,2.666666666666667,1.0,1.55,1.0833333333333337,2.35
30,1.0,1.1428571428571428,2.1,1.75,1.3333333333333337,1.2,1.75,1.0,1.25,1.3,1.9166666666666667,1.9166666666666667
31,2.9642857142857144,2.9642857142857144,2.9642857142857144,2.9642857142857144,5.0,3.1,2.9642857142857144,2.9642857142857144,1.0,2.9642857142857144,2.9642857142857144,2.9642857142857144
32,5.0,3.8,5.0,5.0,1.5357142857142856,5.0,5.0,3.8,1.3333333333333337,1.85,1.5833333333333337,1.5833333333333337
33,4.125,1.0833333333333337,1.25,2.0,1.85,2.8,4.125,4.125,3.0,2.5,4.125,4.583333333333334
34,1.75,1.75,2.821428571428571,4.0,2.6666666666666665,2.821428571428571,2.821428571428571,4.0,1.85,4.0,1.75,1.75
35,1.9,1.9,1.9,2.6666666666666665,2.666666666666667,1.0833333333333337,1.9,1.9,2.6666666666666665,2.6666666666666665,1.0833333333333337,2.6666666666666665
36,3.6,2.416666666666667,3.0,3.0,1.4166666666666663,2.7,2.375,2.375,3.166666666666667,3.2,3.25,2.666666666666667
37,3.75,1.0,1.0,1.4166666666666663,1.9166666666666663,1.0,1.6666666666666663,3.75,1.0,1.55,1.4166666666666663,1.4166666666666663
38,2.333333333333333,2.2,4.0,2.2,1.625,2.2,1.9166666666666663,2.2,4.166666666666667,1.1666666666666663,4.166666666666667,2.6666666666666665
39,2.125,2.2,1.3333333333333337,4.583333333333334,4.571428571428571,2.2,2.125,1.0,1.0,1.1,2.2,1.1666666666666663
40,4.571428571428571,4.571428571428571,1.5,1.0833333333333337,1.25,4.571428571428571,4.333333333333333,1.0833333333333337,1.0833333333333337,1.75,1.0833333333333337,1.2
41,5.0,5.0,5.0,5.0,4.5,1.1666666666666663,1.0,5.0,2.45,1.4166666666666663,1.0,5.0
42,1.9166666666666667,1.9166666666666667,4.5,1.25,1.9166666666666667,1.9166666666666667,4.833333333333334,1.9166666666666667,1.25,1.25,1.25,4.875
43,1.6,1.9166666666666667,1.0,1.9166666666666667,1.0833333333333337,1.3333333333333337,1.9166666666666667,2.916666666666667,1.3333333333333337,1.3333333333333337,1.9166666666666667,1.3333333333333337
44,1.0833333333333337,1.0,1.0833333333333337,1.0833333333333337,1.0,1.55,1.6,1.55,1.55,1.0833333333333337,2.0,1.25
45,1.0,1.25,1.25,4.833333333333334,1.0,1.0,4.833333333333334,1.2,1.2,1.0,4.833333333333334,1.45
46,1.0833333333333337,1.25,1.0,1.25,1.1666666666666663,1.0833333333333337,1.1,1.5,1.25,1.25,1.1666666666666663,1.5357142857142856
47,1.1666666666666663,1.0,1.1666666666666663,1.0,1.1666666666666663,1.0833333333333337,1.8333333333333333,1.1,1.8333333333333333,1.1666666666666663,1.1666666666666663,1.8333333333333333
48,1.75,1.75,5.0,1.1,1.5714285714285714,1.65,2.5,4.875,4.875,5.0,4.875,1.75
49,4.666666666666666,4.666666666666666,4.666666666666666,1.0,4.916666666666666,4.666666666666666,4.666666666666666,4.666666666666666,1.3,1.0,1.0,1.3
50,4.916666666666666,1.0833333333333337,1.0833333333333337,1.1666666666666663,1.3333333333333337,4.916666666666666,4.916666666666666,4.916666666666666,1.0833333333333337,1.0,4.916666666666666,4.916666666666666
51,4.75,4.75,1.0,1.0,5.0,2.166666666666667,1.1,1.25,1.1,1.1,2.083333333333333,1.1
52,4.8,4.8,5.0,4.8,4.916666666666666,4.8,4.8,4.8,4.8,1.75,5.0,4.8
53,4.916666666666666,4.916666666666666,1.5,4.916666666666666,1.8,1.25,3.416666666666667,1.0,1.0,1.0,1.0,1.0
54,3.5,1.5833333333333337,3.5,3.5,1.35,1.8,2.583333333333333,1.2,1.0,2.4,1.3333333333333337,1.0833333333333337
55,4.6,4.6,1.75,4.6,1.0,4.6,4.6,4.6,4.6,1.1666666666666663,2.9,1.35
56,1.125,1.4166666666666663,1.0,1.4166666666666663,1.2,1.4166666666666663,4.833333333333334,1.0,2.1,1.0,4.833333333333334,1.0
57,3.7,4.416666666666667,4.416666666666667,4.416666666666667,4.916666666666666,1.3,4.416666666666667,3.7,2.083333333333333,1.6428571428571428,3.7,1.4
58,4.916666666666666,4.916666666666666,4.916666666666666,4.916666666666666,1.1666666666666663,4.916666666666666,4.916666666666666,4.916666666666666,4.916666666666666,3.5,4.916666666666666,4.916666666666666
59,3.5,3.333333333333333,3.333333333333333,1.5833333333333337,,3.9,3.9,1.0833333333333337,4.5,1.375,3.9,4.3
60,5.0,5.0,5.0,,,,5.0,,,,5.0,5.0
61,4.75,4.75,4.75,,,,4.75,,,,4.75,4.75
62,3.416666666666667,3.5,3.5,,,,3.916666666666667,,,,1.1666666666666663,1.9166666666666663
63,3.0,3.75,3.2,,,,1.45,,,,1.3333333333333337,1.75
64,3.833333333333333,2.9,3.6,,,,3.4,,,,1.25,1.8333333333333333
65,3.916666666666667,4.083333333333333,3.0,,,,1.0,,,,3.0,1.6
66,3.75,4.416666666666666,3.125,,,,3.75,,,,3.125,3.125
67,4.166666666666667,4.166666666666667,4.166666666666667,,,,4.166666666666667,,,,4.166666666666667,1.25
68,4.1,4.1,4.1,,,,4.1,,,,1.6,1.3333333333333337
69,4.833333333333334,4.666666666666666,2.4,,,,4.666666666666666,,,,4.833333333333334,4.833333333333334
70,4.75,4.75,2.4166666666666665,,,,4.75,,,,4.75,4.75
71,4.916666666666666,4.916666666666666,1.55,,,,3.5,,,,3.55,1.5833333333333337
72,4.833333333333334,5.0,1.0,,,,5.0,,,,1.25,1.4166666666666663
73,4.833333333333334,4.833333333333334,4.833333333333334,,,,4.833333333333334,,,,4.833333333333334,4.833333333333334
74,4.083333333333333,4.083333333333333,4.083333333333333,,,,4.083333333333333,,,,4.083333333333333,4.083333333333333
75,2.25,4.25,4.25,,,,4.25,,,,4.25,4.25
76,4.916666666666666,4.916666666666666,1.6666666666666663,,,,4.9,,,,4.9,1.3333333333333337
77,4.75,4.75,1.1666666666666663,,,,4.916666666666666,,,,1.25,1.8
78,4.75,4.0,1.5,,,,4.75,,,,1.5833333333333337,1.6666666666666663
79,1.1,1.2,1.35,,,,1.0,,,,1.4166666666666663,1.25
80,3.5,3.5,1.85,,,,4.25,,,,1.5,2.05
81,3.1666666666666665,1.25,2.3,,,,3.1666666666666665,,,,1.0833333333333337,1.25
82,1.5833333333333333,1.95,1.5,,,,1.75,,,,4.75,1.5833333333333333
83,4.75,4.75,4.75,,,,4.3,,,,1.0,4.6
84,1.8333333333333333,1.75,4.285714285714286,,,,4.285714285714286,,,,1.5,1.0833333333333337
85,4.142857142857142,4.142857142857142,4.142857142857142,,,,4.142857142857142,,,,4.5,1.4166666666666663
86,4.666666666666666,4.666666666666666,1.125,,,,4.15,,,,4.833333333333334,4.5
87,4.833333333333334,2.15,2.1,,,,4.833333333333334,,,,4.25,1.2
88,4.2,4.25,4.2,,,,2.75,,,,4.333333333333333,2.5
89,2.666666666666667,1.9166666666666667,2.666666666666667,,,,1.0,,,,1.25,1.25
90,1.0,1.8,2.1,,,,1.9166666666666667,,,,4.05,1.4166666666666663
91,1.5833333333333333,3.0,1.0,,,,2.9642857142857144,,,,1.5833333333333337,3.166666666666667
92,4.916666666666666,5.0,1.6666666666666663,,,,5.0,,,,2.416666666666667,1.6428571428571428
93,2.5,3.25,2.45,,,,3.9,,,,1.75,3.1
94,1.0,1.75,1.75,,,,4.0,,,,2.25,1.9166666666666663
95,1.0,1.0833333333333337,1.9,,,,2.6666666666666665,,,,2.666666666666667,2.25
96,2.416666666666667,2.666666666666667,3.6,,,,2.416666666666667,,,,1.3333333333333337,2.666666666666667
97,1.6666666666666663,3.75,1.0833333333333337,,,,1.0,,,,1.3333333333333337,1.0833333333333337
98,2.083333333333333,2.333333333333333,1.75,,,,1.9166666666666663,,,,1.25,1.9166666666666663
99,2.1,1.0,1.0,,,,1.7,,,,4.571428571428571,1.3333333333333337
100,4.571428571428571,4.571428571428571,1.5,,,,4.571428571428571,,,,1.25,1.1666666666666663
101,5.0,5.0,1.4166666666666663,,,,5.0,,,,1.25,1.1666666666666663
102,4.916666666666666,2.4,4.5,,,,1.25,,,,1.3333333333333337,4.875
103,1.0,1.9166666666666667,1.9166666666666667,,,,1.3333333333333337,,,,1.0,1.3333333333333337
104,1.0,1.95,1.0833333333333337,,,,1.55,,,,1.25,1.0
105,4.833333333333334,1.0,1.45,,,,4.833333333333334,,,,1.0,1.125
106,1.0,1.0,1.0,,,,1.25,,,,1.25,1.2
107,1.0,1.3333333333333337,1.1666666666666663,,,,1.0,,,,2.5,1.0833333333333337
108,1.75,1.75,2.25,,,,2.5,,,,1.0833333333333337,3.25
109,1.95,4.666666666666666,2.5,,,,4.666666666666666,,,,1.0833333333333337,2.5
110,1.0833333333333337,1.0833333333333337,1.0833333333333337,,,,4.916666666666666,,,,2.083333333333333,1.2
111,2.083333333333333,1.1,1.1,,,,4.333333333333333,,,,1.0833333333333337,3.75
112,1.9166666666666667,4.8,5.0,,,,4.8,,,,1.0833333333333337,1.35
113,4.916666666666666,1.5,1.0,,,,4.916666666666666,,,,1.25,1.0
114,2.583333333333333,3.5,1.0,,,,2.583333333333333,,,,1.3,1.375
115,4.6,4.6,4.6,,,,4.6,,,,1.25,2.9
116,4.833333333333334,1.0,1.0,,,,1.0,,,,2.083333333333333,1.2
117,4.416666666666667,4.416666666666667,1.375,,,,4.416666666666667,,,,4.916666666666666,2.083333333333333
118,4.916666666666666,4.916666666666666,4.916666666666666,,,,4.916666666666666,,,,2.833333333333333,4.916666666666666
119,4.3,3.333333333333333,4.0,,,,1.65,,,,,1.5833333333333337
120,5.0,5.0,5.0,,,,,,,,,
121,4.75,4.75,4.75,,,,,,,,,
122,3.5,1.55,3.916666666666667,,,,,,,,,
123,2.4166666666666665,3.75,3.1666666666666665,,,,,,,,,
124,3.6,3.6,3.6,,,,,,,,,
125,1.0,2.0,1.4166666666666663,,,,,,,,,
126,3.125,4.083333333333333,3.125,,,,,,,,,
127,4.166666666666667,4.166666666666667,4.166666666666667,,,,,,,,,
128,4.1,4.1,4.1,,,,,,,,,
129,2.4,4.666666666666666,4.0,,,,,,,,,
130,4.75,2.4166666666666665,4.75,,,,,,,,,
131,4.916666666666666,4.714285714285714,3.5,,,,,,,,,
132,3.8,1.0833333333333337,5.0,,,,,,,,,
133,4.833333333333334,4.833333333333334,4.833333333333334,,,,,,,,,
134,1.65,4.083333333333333,4.083333333333333,,,,,,,,,
135,4.25,4.25,4.25,,,,,,,,,
136,1.625,4.9,1.6,,,,,,,,,
137,4.75,4.916666666666666,2.25,,,,,,,,,
138,4.75,1.7857142857142856,1.25,,,,,,,,,
139,2.1,1.0,1.2,,,,,,,,,
140,1.5,3.5,3.0,,,,,,,,,
141,1.5,3.1666666666666665,2.3,,,,,,,,,
142,1.75,2.6666666666666665,1.75,,,,,,,,,
143,4.3,3.0357142857142856,3.0357142857142856,,,,,,,,,
144,4.285714285714286,4.285714285714286,1.4166666666666663,,,,,,,,,
145,4.142857142857142,4.142857142857142,4.142857142857142,,,,,,,,,
146,4.916666666666666,3.625,4.666666666666666,,,,,,,,,
147,2.125,1.3333333333333337,4.4,,,,,,,,,
148,4.2,2.083333333333333,4.25,,,,,,,,,
149,2.666666666666667,2.666666666666667,2.666666666666667,,,,,,,,,
150,1.0,1.8333333333333333,2.1,,,,,,,,,
151,2.9642857142857144,3.166666666666667,2.9642857142857144,,,,,,,,,
152,5.0,5.0,1.0,,,,,,,,,
153,2.5,1.4642857142857144,1.25,,,,,,,,,
154,2.821428571428571,3.916666666666667,1.75,,,,,,,,,
155,1.9,4.0,1.9,,,,,,,,,
156,3.166666666666667,3.6,3.0,,,,,,,,,
157,1.0,3.821428571428571,4.083333333333333,,,,,,,,,
158,2.333333333333333,2.083333333333333,1.9166666666666663,,,,,,,,,
159,2.2,2.1,1.0,,,,,,,,,
160,4.571428571428571,4.571428571428571,1.5,,,,,,,,,
161,5.0,5.0,1.0833333333333337,,,,,,,,,
162,4.833333333333334,3.083333333333333,4.5,,,,,,,,,
163,1.0,2.916666666666667,1.6,,,,,,,,,
164,1.55,1.75,1.0,,,,,,,,,
165,1.0,1.2,1.0,,,,,,,,,
166,1.1,1.25,1.1,,,,,,,,,
167,1.1666666666666663,1.25,1.0833333333333337,,,,,,,,,
168,4.875,2.583333333333333,5.0,,,,,,,,,
169,4.666666666666666,1.1666666666666663,2.5,,,,,,,,,
170,1.0833333333333337,1.0833333333333337,1.0833333333333337,,,,,,,,,
171,1.1,1.1,1.0,,,,,,,,,
172,4.8,1.25,4.8,,,,,,,,,
173,1.5833333333333337,4.916666666666666,4.916666666666666,,,,,,,,,
174,3.5,2.583333333333333,4.666666666666666,,,,,,,,,
175,4.6,4.6,4.6,,,,,,,,,
176,4.833333333333334,4.833333333333334,1.3,,,,,,,,,
177,4.416666666666667,3.333333333333333,1.375,,,,,,,,,
178,4.916666666666666,4.916666666666666,4.916666666666666,,,,,,,,,
179,4.25,4.25,4.0,,,,,,,,,
180,,,5.0,,,,,,,,,
181,,,4.75,,,,,,,,,
182,,,1.0833333333333337,,,,,,,,,
183,,,3.2,,,,,,,,,
184,,,3.416666666666667,,,,,,,,,
185,,,3.0,,,,,,,,,
186,,,3.75,,,,,,,,,
187,,,4.166666666666667,,,,,,,,,
188,,,4.1,,,,,,,,,
189,,,4.833333333333334,,,,,,,,,
190,,,4.75,,,,,,,,,
191,,,4.916666666666666,,,,,,,,,
192,,,5.0,,,,,,,,,
193,,,4.833333333333334,,,,,,,,,
194,,,4.083333333333333,,,,,,,,,
195,,,4.25,,,,,,,,,
196,,,3.5,,,,,,,,,
197,,,1.1666666666666663,,,,,,,,,
198,,,4.0,,,,,,,,,
199,,,1.35,,,,,,,,,
200,,,2.75,,,,,,,,,
201,,,1.25,,,,,,,,,
202,,,1.75,,,,,,,,,
203,,,4.75,,,,,,,,,
204,,,4.285714285714286,,,,,,,,,
205,,,1.25,,,,,,,,,
206,,,4.666666666666666,,,,,,,,,
207,,,1.0,,,,,,,,,
208,,,4.25,,,,,,,,,
209,,,1.1,,,,,,,,,
210,,,2.1,,,,,,,,,
211,,,1.3333333333333337,,,,,,,,,
212,,,5.0,,,,,,,,,
213,,,1.25,,,,,,,,,
214,,,1.75,,,,,,,,,
215,,,2.6666666666666665,,,,,,,,,
216,,,3.0,,,,,,,,,
217,,,1.4166666666666663,,,,,,,,,
218,,,1.75,,,,,,,,,
219,,,1.0,,,,,,,,,
220,,,1.6,,,,,,,,,
221,,,5.0,,,,,,,,,
222,,,1.9166666666666667,,,,,,,,,
223,,,1.6,,,,,,,,,
224,,,1.0833333333333337,,,,,,,,,
225,,,4.833333333333334,,,,,,,,,
226,,,1.0,,,,,,,,,
227,,,1.25,,,,,,,,,
228,,,4.875,,,,,,,,,
229,,,1.1,,,,,,,,,
230,,,1.0833333333333337,,,,,,,,,
231,,,1.0,,,,,,,,,
232,,,4.8,,,,,,,,,
233,,,1.0833333333333337,,,,,,,,,
234,,,1.6,,,,,,,,,
235,,,3.333333333333333,,,,,,,,,
236,,,1.0,,,,,,,,,
237,,,1.375,,,,,,,,,
238,,,4.916666666666666,,,,,,,,,
239,,,1.1666666666666663,,,,,,,,,
